season,date,stage,round,home_team,away_team,home_goals,away_goals
1996-97,1996-08-07,Qualifying,Prelim. Round | Leg 1,Widzew Lodz,Brondby IF,2,1
1996-97,1996-08-07,Qualifying,Prelim. Round | Leg 1,Rangers FC,Alania Vladikavkaz,3,1
1996-97,1996-08-07,Qualifying,Prelim. Round | Leg 1,Club Brugge,Steaua Bucuresti,2,2
1996-97,1996-08-07,Qualifying,Prelim. Round | Leg 1,Rapid Wien,Dinamo Kiev,2,0
1996-97,1996-08-07,Qualifying,Prelim. Round | Leg 1,Maccabi Tel Aviv,Fenerbahçe İstanbul SK,0,1
1996-97,1996-08-07,Qualifying,Prelim. Round | Leg 1,IFK Goteborg,Ferencvaros,3,0
1996-97,1996-08-07,Qualifying,Prelim. Round | Leg 1,Grasshoppers Zurich,Slavia Praha,5,0
1996-97,1996-08-07,Qualifying,Prelim. Round | Leg 1,Panathinaikos FC,Rosenborg BK,1,0
1996-97,1996-08-21,Qualifying,Prelim. Round | Leg 2,Fenerbahçe İstanbul SK,Maccabi Tel Aviv,1,1
1996-97,1996-08-21,Qualifying,Prelim. Round | Leg 2,Alania Vladikavkaz,Rangers FC,2,7
1996-97,1996-08-21,Qualifying,Prelim. Round | Leg 2,Ferencvaros,IFK Goteborg,1,1
1996-97,1996-08-21,Qualifying,Prelim. Round | Leg 2,Slavia Praha,Grasshoppers Zurich,0,1
1996-97,1996-08-21,Qualifying,Prelim. Round | Leg 2,Brondby IF,Widzew Lodz,3,2
1996-97,1996-08-21,Qualifying,Prelim. Round | Leg 2,Steaua Bucuresti,Club Brugge,3,0
1996-97,1996-08-21,Qualifying,Prelim. Round | Leg 2,Dinamo Kiev,Rapid Wien,2,4
1996-97,1996-08-21,Qualifying,Prelim. Round | Leg 2,Rosenborg BK,Panathinaikos FC,1,0
1996-97,1996-09-11,Group,Matchday ?,IFK Goteborg,Rosenborg BK,2,3
1996-97,1996-09-11,Group,Matchday ?,Rapid Wien,Fenerbahçe İstanbul SK,1,1
1996-97,1996-09-11,Group,Matchday ?,Juventus,Manchester United,1,0
1996-97,1996-09-11,Group,Matchday ?,Milan,FC Porto,2,3
1996-97,1996-09-11,Group,Matchday ?,Atletico Madrid,Steaua Bucuresti,4,0
1996-97,1996-09-11,Group,Matchday ?,Grasshoppers Zurich,Rangers FC,3,0
1996-97,1996-09-11,Group,Matchday ?,Borussia Dortmund,Widzew Lodz,2,1
1996-97,1996-09-11,Group,Matchday ?,AJ Auxerre,AFC Ajax,0,1
1996-97,1996-09-25,Group,Matchday ?,AFC Ajax,Grasshoppers Zurich,0,1
1996-97,1996-09-25,Group,Matchday ?,Rangers FC,AJ Auxerre,1,2
1996-97,1996-09-25,Group,Matchday ?,Widzew Lodz,Atletico Madrid,1,4
1996-97,1996-09-25,Group,Matchday ?,Steaua Bucuresti,Borussia Dortmund,0,3
